,league,season,fthg,ftag,odd_h,odd_d,odd_a,num of events type 1 for size 1,num of events type 2 for size 1,num of events type 3 for size 1,num of events type 4 for size 1,num of events type 5 for size 1,num of events type 6 for size 1,num of events type 7 for size 1,num of events type 8 for size 1,num of events type 9 for size 1,num of events type 10 for size 1,num of events type 11 for size 1,num of events type 12 for size 1,num of events type 13 for size 1,num of events type 14 for size 1,num of events type 15 for size 1
0,D1,2012,3,1,1.56,4.41,7.42,8,0,-5,-2,0,0,0,4,-2,-1,0,6,-2,0,0
1,D1,2012,2,2,2.36,3.6,3.4,2,1,-10,-2,0,0,1,7,1,0,0,1,1,0,0
2,D1,2012,2,0,1.83,4.2,4.8,10,1,-13,-1,0,0,-1,12,0,-1,0,7,0,0,0
3,F1,2012,0,1,1.55,4.5,9.4,3,1,12,-2,0,0,0,-11,-1,0,0,3,-1,0,0
4,F1,2012,1,0,2.5,3.4,3.45,-1,-8,0,1,0,0,0,1,1,2,0,0,1,0,0
5,D1,2012,0,1,2.06,3.75,3.95,-9,-1,-2,-1,0,0,-1,-1,0,-2,0,-8,0,0,0
6,F1,2012,2,2,2.29,3.25,3.85,14,3,-1,0,0,0,0,4,1,0,0,13,1,0,0
7,F1,2012,0,2,2.8,3.1,3.05,5,7,-4,2,0,0,0,4,1,-1,0,3,1,0,0
8,F1,2012,1,3,4.5,3.55,2,-10,4,3,1,0,0,1,-4,5,1,0,-5,5,0,0
9,D1,2012,0,3,3,3.8,2.54,-11,3,-6,-3,0,0,0,7,-2,0,0,-6,-2,1,0
10,F1,2012,1,1,3.66,3.5,2.42,-12,-2,-3,-1,0,1,-1,4,0,-1,0,-8,0,1,1
11,F1,2012,3,1,2.12,3.3,4.44,-5,-1,-5,-1,0,0,0,5,0,-1,0,-4,0,0,0
12,D1,2012,3,0,2.31,3.8,3.27,-4,-4,-7,0,0,0,0,7,2,0,0,-2,2,0,0
13,D1,2012,2,1,2.43,3.75,3.4,-5,-1,-7,0,0,0,0,6,-6,0,2,-6,-6,0,0
14,F1,2012,2,2,1.5,4.4,9,19,-1,3,-2,0,0,0,-1,2,0,0,14,2,0,0
15,F1,2012,1,2,1.82,3.65,5.5,-1,-1,-5,-3,0,0,1,4,1,2,-1,0,1,0,-1
16,F1,2012,1,5,3.35,3.27,2.5,1,6,1,1,0,0,0,-1,2,1,0,1,2,0,0
17,D1,2012,2,0,3.45,3.4,2.5,14,5,1,1,0,0,1,0,1,0,0,9,1,0,1
18,D1,2012,0,1,1.24,7.4,15,11,9,1,-1,0,0,-1,0,4,-1,0,7,4,0,0
19,E0,2012,0,0,1.95,3.65,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,E0,2012,0,0,3.6,3.55,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,E0,2012,0,4,2.2,3.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,F1,2012,1,2,2,3.4,4.7,0,5,-7,-1,0,0,0,7,0,0,0,-2,0,0,0
23,D1,2012,5,1,1.67,4.2,6.14,13,5,2,-3,0,0,0,-4,2,0,-1,15,2,0,0
24,F1,2012,1,1,1.3,5.8,14.58,17,12,-3,-2,0,0,0,3,-7,0,0,11,-7,0,0
25,D1,2012,1,0,4.9,3.8,1.88,0,-1,2,3,0,0,0,-2,2,-1,0,-3,2,0,0
26,E0,2012,1,1,2.5,3.52,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,F1,2012,1,0,2.25,3.2,3.95,11,6,-3,0,0,0,0,5,-1,-1,0,7,-1,0,0
28,D1,2012,1,2,1.97,3.9,4.2,8,2,-5,-1,0,0,0,4,6,0,1,6,6,0,0
29,D1,2012,1,2,3,3.52,2.6,9,-2,-8,-2,0,0,0,9,0,0,0,6,0,0,0
30,E0,2012,1,1,1.45,4.75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,F1,2012,1,1,2.6,3.27,3.25,1,-6,-3,-2,0,0,0,3,-1,0,0,1,-1,-1,0
32,E0,2012,1,2,2.58,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,D1,2012,2,2,2.12,3.6,3.98,-15,-1,5,0,0,0,0,-4,-2,0,1,-7,-2,0,0
34,D1,2012,1,1,2.94,3.65,2.6,-5,-3,1,2,0,0,1,-1,-9,0,1,-5,-9,1,0
35,F1,2012,1,1,2.66,3.25,3.1,3,0,-7,0,0,0,0,7,-4,1,0,2,-4,0,0
36,F1,2012,0,0,1.99,3.4,4.9,6,3,0,0,0,0,2,-1,2,0,0,5,2,0,0
37,F1,2012,2,0,1.68,3.8,7,6,5,-1,-1,0,0,0,1,-3,-1,-1,5,-3,0,0
38,D1,2012,0,1,4.7,3.79,1.95,-4,0,-1,-3,0,0,0,2,-3,2,0,-3,-3,0,0
39,F1,2012,0,1,1.6,4,8.19,11,7,-13,1,0,0,2,13,-3,1,0,6,-3,0,0
40,E0,2012,1,2,6.2,4,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,F1,2012,2,2,3.95,3.31,2.24,6,7,4,3,0,0,0,-3,0,-2,0,1,0,0,0
42,F1,2012,1,0,2.31,3.26,3.75,-1,-3,-1,2,0,0,0,-2,-2,-1,0,-4,-2,0,0
43,D1,2012,1,0,1.91,4,4.3,7,6,1,-1,0,0,0,0,1,-1,0,3,1,0,0
44,D1,2012,1,1,1.94,3.65,4.65,4,6,10,3,0,0,-2,-9,-5,0,0,7,-5,0,0
45,E0,2012,0,0,4.4,3.5,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,E0,2012,4,0,1.46,4.75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,D1,2012,4,1,2.88,3.6,2.64,14,2,-6,-1,0,0,0,5,0,0,1,8,0,0,0
48,D1,2012,1,1,3,3.65,2.54,2,2,-5,-1,0,0,0,4,-1,-2,0,3,-1,0,0
49,E0,2012,2,1,1.31,6,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,D1,2012,2,0,1.36,5.6,10.9,0,0,-3,-2,0,0,0,0,2,1,0,1,2,0,0
51,F1,2012,1,1,4,3.3,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,D1,2012,0,2,3.11,3.6,2.44,-5,2,0,0,0,0,0,-1,1,0,0,-2,1,0,0
53,E0,2012,0,2,2.37,3.4,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,E0,2012,3,1,1.69,3.8,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,D1,2012,0,1,2.31,3.7,3.3,0,1,3,3,0,0,0,-1,4,0,0,0,4,1,0
56,E0,2012,0,0,2.04,3.65,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,D1,2012,5,0,1.26,6.6,16.5,21,2,-3,-2,0,0,0,5,0,0,0,21,0,0,0
58,F1,2012,1,1,2.6,3.3,3.26,-11,-7,6,0,0,0,0,-5,3,-1,0,-10,3,0,0
59,E0,2012,0,1,1.46,4.59,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,D1,2012,5,3,1.63,4.3,6.2,15,11,-7,-3,0,0,0,9,1,-3,1,11,1,0,0
61,F1,2012,2,0,2.88,3.28,2.9,-17,-13,4,-2,0,1,0,-4,1,0,0,-14,1,1,0
62,F1,2012,1,2,4.3,3.36,2.1,-12,-7,3,-1,0,0,0,-2,-2,1,-1,-9,-2,0,0
63,F1,2012,1,1,1.89,3.45,5.4,8,9,-5,-2,0,0,0,3,2,1,0,5,2,0,0
64,E0,2012,0,1,2.54,3.2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,F1,2012,1,1,3.1,3.1,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,F1,2012,4,0,2.4,3.2,4,6,3,8,1,0,0,0,-8,3,0,-1,2,3,0,0
67,E0,2012,2,0,2.76,3.3,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,F1,2012,1,2,2.24,3.35,3.9,4,0,1,1,0,-1,0,-1,5,1,1,2,5,-1,0
69,F1,2012,2,1,1.67,4,7.5,6,3,-3,-3,0,0,0,3,-2,0,-1,3,-2,0,0
70,F1,2012,0,0,1.6,4.09,7.8,14,6,-7,-4,0,0,0,7,-2,0,0,7,-2,-1,0
71,D1,2012,1,1,2.31,3.7,3.3,4,-3,0,-5,0,0,1,-3,-5,-1,0,2,-5,0,0
72,E0,2012,1,1,2.94,3.35,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
