league,season,fthg,ftag,odd_h,odd_d,odd_a,num of events type 1 for size 1,num of events type 2 for size 1,num of events type 3 for size 1,num of events type 4 for size 1,num of events type 5 for size 1,num of events type 6 for size 1,num of events type 7 for size 1,num of events type 8 for size 1,num of events type 9 for size 1,num of events type 10 for size 1,num of events type 11 for size 1,num of events type 12 for size 1,num of events type 13 for size 1,num of events type 14 for size 1,num of events type 15 for size 1,num of events type 1 for size 2,num of events type 2 for size 2,num of events type 3 for size 2,num of events type 4 for size 2,num of events type 5 for size 2,num of events type 6 for size 2,num of events type 7 for size 2,num of events type 8 for size 2,num of events type 9 for size 2,num of events type 10 for size 2,num of events type 11 for size 2,num of events type 12 for size 2,num of events type 13 for size 2,num of events type 14 for size 2,num of events type 15 for size 2
D1,2012,3,1,1.56,4.41,7.42,16,7,12,1,0,0,3,16,1,0,0,10,1,0,0,8,7,17,3,0,0,3,12,3,1,0,4,3,0,0
D1,2012,2,2,2.36,3.6,3.4,11,5,15,2,0,0,3,24,1,0,0,9,1,0,0,9,4,25,4,0,0,2,17,0,0,0,8,0,0,0
D1,2012,2,0,1.83,4.2,4.8,19,6,12,1,0,0,2,26,6,0,0,13,6,0,0,9,5,25,2,0,0,3,14,6,1,0,6,6,0,0
F1,2012,0,1,1.55,4.5,9.4,12,7,20,1,0,0,3,10,5,0,0,10,5,0,0,9,6,8,3,0,0,3,21,6,0,0,7,6,0,0
F1,2012,1,0,2.5,3.4,3.45,11,3,10,2,0,0,2,11,2,2,0,8,2,0,0,12,11,10,1,0,0,2,10,1,0,0,8,1,0,0
D1,2012,0,1,2.06,3.75,3.95,4,2,23,2,0,0,2,24,2,0,0,0,2,0,0,13,3,25,3,0,0,3,25,2,2,0,8,2,0,0
F1,2012,2,2,2.29,3.25,3.85,23,11,11,2,0,0,3,15,3,0,0,17,3,0,0,9,8,12,2,0,0,3,11,2,0,0,4,2,0,0
F1,2012,0,2,2.8,3.1,3.05,18,11,12,4,0,0,3,16,2,0,0,13,2,0,0,13,4,16,2,0,0,3,12,1,1,0,10,1,0,0
F1,2012,1,3,4.5,3.55,2,12,12,16,2,0,0,3,13,6,1,0,7,6,0,0,22,8,13,1,0,0,2,17,1,0,0,12,1,0,0
D1,2012,0,3,3,3.8,2.54,7,7,12,2,0,0,3,20,1,1,0,5,1,1,0,18,4,18,5,0,0,3,13,3,1,0,11,3,0,0
F1,2012,1,1,3.66,3.5,2.42,6,6,16,2,0,1,2,20,0,0,0,4,0,1,1,18,8,19,3,0,0,3,16,0,1,0,12,0,0,0
F1,2012,3,1,2.12,3.3,4.44,13,4,16,0,0,0,3,21,2,0,0,7,2,0,0,18,5,21,1,0,0,3,16,2,1,0,11,2,0,0
D1,2012,3,0,2.31,3.8,3.27,12,2,11,1,0,0,3,19,5,0,0,11,5,0,0,16,6,18,1,0,0,3,12,3,0,0,13,3,0,0
D1,2012,2,1,2.43,3.75,3.4,7,4,10,2,0,0,3,17,0,2,2,3,0,0,0,12,5,17,2,0,0,3,11,6,2,0,9,6,0,0
F1,2012,2,2,1.5,4.4,9,27,4,14,1,0,0,3,13,2,0,0,19,2,0,0,8,5,11,3,0,0,3,14,0,0,0,5,0,0,0
F1,2012,1,2,1.82,3.65,5.5,12,3,13,1,0,0,3,18,2,2,0,9,2,0,0,13,4,18,4,0,0,2,14,1,0,1,9,1,0,1
F1,2012,1,5,3.35,3.27,2.5,17,9,16,3,0,0,3,15,4,1,2,13,4,0,0,16,3,15,2,0,0,3,16,2,0,2,12,2,0,0
D1,2012,2,0,3.45,3.4,2.5,23,7,18,3,0,0,3,19,5,0,0,15,5,0,1,9,2,17,2,0,0,2,19,4,0,0,6,4,0,0
D1,2012,0,1,1.24,7.4,15,18,11,10,0,0,0,2,10,5,0,0,13,5,0,0,7,2,9,1,0,0,3,10,1,1,0,6,1,0,0
E0,2012,0,0,1.95,3.65,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,0,0,3.6,3.55,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,0,4,2.2,3.35,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,1,2,2,3.4,4.7,16,8,13,0,0,0,3,20,1,0,0,11,1,0,0,16,3,20,1,0,0,3,13,1,0,0,13,1,0,0
D1,2012,5,1,1.67,4.2,6.14,19,7,15,0,0,0,3,14,4,0,0,16,4,0,0,6,2,13,3,0,0,3,18,2,0,1,1,2,0,0
F1,2012,1,1,1.3,5.8,14.58,24,13,14,1,0,0,3,17,0,0,0,16,0,0,0,7,1,17,3,0,0,3,14,7,0,0,5,7,0,0
D1,2012,1,0,4.9,3.8,1.88,15,5,13,4,0,0,3,11,3,0,0,10,3,0,0,15,6,11,1,0,0,3,13,1,1,0,13,1,0,0
E0,2012,1,1,2.5,3.52,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,1,0,2.25,3.2,3.95,16,8,10,2,0,0,3,15,0,1,0,12,0,0,0,5,2,13,2,0,0,3,10,1,2,0,5,1,0,0
D1,2012,1,2,1.97,3.9,4.2,13,8,13,2,0,0,3,19,9,0,1,8,9,0,0,5,6,18,3,0,0,3,15,3,0,0,2,3,0,0
D1,2012,1,2,3,3.52,2.6,18,4,10,0,0,0,3,19,6,0,0,11,6,0,0,9,6,18,2,0,0,3,10,6,0,0,5,6,0,0
E0,2012,1,1,1.45,4.75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,1,1,2.6,3.27,3.25,12,4,12,1,0,0,3,15,1,0,0,10,1,0,0,11,10,15,3,0,0,3,12,2,0,0,9,2,1,0
E0,2012,1,2,2.58,3.25,3.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,2,2,2.12,3.6,3.98,9,5,13,3,0,0,3,9,1,0,1,6,1,0,0,24,6,8,3,0,0,3,13,3,0,0,13,3,0,0
D1,2012,1,1,2.94,3.65,2.6,10,2,9,4,0,0,3,8,0,0,1,6,0,1,0,15,5,8,2,0,0,2,9,9,0,0,11,9,0,0
F1,2012,1,1,2.66,3.25,3.1,11,3,14,2,0,0,3,21,1,1,0,8,1,0,0,8,3,21,2,0,0,3,14,5,0,0,6,5,0,0
F1,2012,0,0,1.99,3.4,4.9,13,7,15,1,0,0,3,15,2,1,0,11,2,0,0,7,4,15,1,0,0,1,16,0,1,0,6,0,0,0
F1,2012,2,0,1.68,3.8,7,13,6,8,1,0,0,3,9,1,0,0,9,1,0,0,7,1,9,2,0,0,3,8,4,1,1,4,4,0,0
D1,2012,0,1,4.7,3.79,1.95,7,8,12,0,0,0,3,14,2,2,0,6,2,0,0,11,8,13,3,0,0,3,12,5,0,0,9,5,0,0
F1,2012,0,1,1.6,4,8.19,20,7,8,3,0,0,3,21,2,1,0,14,2,0,0,9,0,21,2,0,0,1,8,5,0,0,8,5,0,0
E0,2012,1,2,6.2,4,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,2,2,3.95,3.31,2.24,13,9,18,5,0,0,3,15,2,0,0,7,2,0,0,7,2,14,2,0,0,3,18,2,2,0,6,2,0,0
F1,2012,1,0,2.31,3.26,3.75,13,2,11,3,0,0,3,12,4,0,0,7,4,0,0,14,5,12,1,0,0,3,14,6,1,0,11,6,0,0
D1,2012,1,0,1.91,4,4.3,16,7,17,1,0,0,3,17,3,0,0,10,3,0,0,9,1,16,2,0,0,3,17,2,1,0,7,2,0,0
D1,2012,1,1,1.94,3.65,4.65,17,7,18,4,0,0,1,9,0,2,0,14,0,0,0,13,1,8,1,0,0,3,18,5,2,0,7,5,0,0
E0,2012,0,0,4.4,3.5,2.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,4,0,1.46,4.75,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,4,1,2.88,3.6,2.64,21,8,12,1,0,0,3,18,1,0,1,14,1,0,0,7,6,18,2,0,0,3,13,1,0,0,6,1,0,0
D1,2012,1,1,3,3.65,2.54,11,7,15,3,0,0,3,20,4,0,0,9,4,0,0,9,5,20,4,0,0,3,16,5,2,0,6,5,0,0
E0,2012,2,1,1.31,6,13.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,2,0,1.36,5.6,10.9,12,5,9,0,0,0,3,12,2,1,0,9,2,0,0,12,5,12,2,0,0,3,12,0,0,0,8,0,0,0
F1,2012,1,1,4,3.3,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,0,2,3.11,3.6,2.44,12,4,16,1,0,0,3,16,2,0,2,9,2,0,0,17,2,16,1,0,0,3,17,1,0,2,11,1,0,0
E0,2012,0,2,2.37,3.4,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,3,1,1.69,3.8,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,0,1,2.31,3.7,3.3,11,5,16,3,0,0,3,15,5,1,0,7,5,1,0,11,4,13,0,0,0,3,16,1,1,0,7,1,0,0
E0,2012,0,0,2.04,3.65,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,5,0,1.26,6.6,16.5,25,5,12,2,0,0,3,16,1,0,0,23,1,0,0,4,3,15,4,0,0,3,11,1,0,0,2,1,0,0
F1,2012,1,1,2.6,3.3,3.26,7,1,21,3,0,0,3,17,4,0,0,5,4,0,0,18,8,15,3,0,0,3,22,1,1,0,15,1,0,0
E0,2012,0,1,1.46,4.59,9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,5,3,1.63,4.3,6.2,26,12,16,1,0,0,3,24,3,1,1,19,3,0,0,11,1,23,4,0,0,3,15,2,4,0,8,2,0,0
F1,2012,2,0,2.88,3.28,2.9,6,1,18,2,0,1,3,14,1,1,0,4,1,1,0,23,14,14,4,0,0,3,18,0,1,0,18,0,0,0
F1,2012,1,2,4.3,3.36,2.1,6,0,17,2,0,0,3,14,1,1,0,4,1,0,0,18,7,14,3,0,0,3,16,3,0,1,13,3,0,0
F1,2012,1,1,1.89,3.45,5.4,16,10,10,1,0,0,3,14,4,2,0,13,4,0,0,8,1,15,3,0,0,3,11,2,1,0,8,2,0,0
E0,2012,0,1,2.54,3.2,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,1,1,3.1,3.1,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,4,0,2.4,3.2,4,13,4,20,4,0,0,3,13,4,0,0,9,4,0,0,7,1,12,3,0,0,3,21,1,0,1,7,1,0,0
E0,2012,2,0,2.76,3.3,2.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,1,2,2.24,3.35,3.9,12,4,16,2,0,0,3,15,5,2,1,7,5,0,0,8,4,15,1,0,1,3,16,0,1,0,5,0,1,0
F1,2012,2,1,1.67,4,7.5,16,3,9,0,0,0,3,12,0,1,0,11,0,0,0,10,0,12,3,0,0,3,9,2,1,1,8,2,0,0
F1,2012,0,0,1.6,4.09,7.8,18,9,11,1,0,0,3,18,1,0,0,11,1,0,0,4,3,18,5,0,0,3,11,3,0,0,4,3,1,0
D1,2012,1,1,2.31,3.7,3.3,14,3,19,1,0,0,3,18,1,0,0,7,1,0,0,10,6,19,6,0,0,2,21,6,1,0,5,6,0,0
E0,2012,1,1,2.94,3.35,2.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,2,3,4.9,3.9,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,2,4,2.46,3.68,3.15,15,6,14,0,0,0,3,15,4,0,0,12,4,0,0,12,5,14,2,0,0,3,15,5,0,0,7,5,0,0
E0,2012,3,0,1.61,4.5,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,1,0,2.4,3.55,3.3,16,4,10,0,0,0,3,11,3,0,0,13,3,0,0,21,3,10,1,0,0,3,10,2,2,0,18,2,0,0
F1,2012,2,1,1.72,3.7,6.4,11,5,14,4,0,0,3,13,2,0,0,7,2,0,0,18,7,13,3,0,1,3,14,2,0,0,13,2,1,0
E0,2012,2,0,2.15,3.5,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,3,0,2.75,3.7,2.79,16,4,11,0,0,0,3,20,2,0,0,12,2,0,0,14,5,20,2,0,0,3,12,1,1,0,10,1,0,0
F1,2012,1,2,2.65,3.14,3.35,11,4,19,2,0,0,3,17,4,1,0,10,4,0,0,10,4,17,3,0,0,3,19,1,0,0,7,1,0,0
SP1,2012,1,2,2.08,3.5,4.2,17,8,12,4,0,0,3,10,4,1,1,10,4,1,0,6,2,10,1,0,1,3,13,3,0,0,3,3,1,0
D1,2012,1,2,2.36,3.7,3.25,15,3,13,0,0,0,3,12,4,2,0,14,4,0,0,9,6,12,1,0,0,3,13,6,0,0,7,6,0,0
E0,2012,3,1,1.2,8,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,0,3,7.6,4.7,1.52,5,1,12,3,0,1,3,15,1,0,2,5,1,1,0,16,2,15,1,0,0,3,12,3,2,0,11,3,0,0
D1,2012,0,0,3.4,3.65,2.29,16,5,10,3,0,1,1,10,2,0,0,12,2,1,0,13,3,11,2,0,1,2,11,3,2,0,10,3,1,0
SP1,2012,4,3,1.41,5.2,9.8,26,10,12,3,0,0,3,9,2,1,0,20,2,0,0,5,3,9,3,0,0,3,12,0,2,0,3,0,0,1
E0,2012,0,1,3.36,3.35,2.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,1,0,1.76,4.01,5.45,15,4,11,4,0,0,3,15,1,1,0,13,1,0,0,13,3,14,2,0,0,3,11,2,2,0,8,2,0,0
F1,2012,2,1,2.06,3.35,4.5,20,10,9,3,0,0,3,14,3,1,0,15,3,0,0,8,1,16,2,0,0,1,8,0,1,0,7,0,0,0
D1,2012,3,4,1.75,4.51,5.2,13,5,17,1,0,0,2,19,9,0,1,9,9,0,0,7,4,18,3,0,0,3,18,2,0,0,5,2,0,0
SP1,2012,0,1,2.76,3.4,2.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,0,1,1.88,3.65,5.14,14,5,16,2,0,0,3,17,1,0,0,11,1,0,0,8,4,18,2,0,0,3,16,4,0,0,5,4,0,0
F1,2012,0,0,2.2,3.2,4.22,12,7,13,0,0,0,3,18,2,0,0,6,2,0,0,14,3,18,3,0,0,2,14,1,1,0,11,1,0,0
E0,2012,3,1,1.4,5.3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E0,2012,0,0,2.14,3.4,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
F1,2012,4,1,1.84,3.55,6.05,22,10,3,1,0,0,2,13,3,2,0,16,3,0,0,4,2,12,4,0,0,3,3,1,1,0,4,1,0,0
E0,2012,0,0,2.45,3.5,3.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D1,2012,1,1,2.39,3.5,3.4,19,8,13,2,0,0,3,24,3,1,0,12,3,0,0,8,9,21,0,0,0,3,13,6,0,0,5,6,0,0
F1,2012,2,1,2.72,3.2,3.13,12,4,16,2,0,0,2,14,6,1,0,10,6,0,0,7,5,13,3,0,1,2,16,7,1,1,5,7,1,0
D1,2012,1,0,1.75,4,5.4,22,8,10,2,0,0,3,12,4,1,0,18,4,0,0,12,6,12,3,0,0,3,10,1,1,0,10,1,0,0
E0,2012,8,2,1.4,5.5,9.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SP1,2012,0,6,12.33,6.2,1.3,8,7,16,2,0,0,3,15,1,0,0,6,1,0,0,40,9,15,1,0,0,3,16,0,1,0,23,0,0,0
