id_odsp,league,season,fthg,ftag,odd_h,odd_d,odd_a
UFot0hit/,D1,2012,3,1,1.56,4.41,7.42
Aw5DflLH/,D1,2012,2,2,2.36,3.6,3.4
bkjpaC6n/,D1,2012,2,0,1.83,4.2,4.8
CzPV312a/,F1,2012,0,1,1.55,4.5,9.4
GUOdmtII/,F1,2012,1,0,2.5,3.4,3.45
lOpzwMkp/,D1,2012,0,1,2.06,3.75,3.95
M7PhlM2C/,F1,2012,2,2,2.29,3.25,3.85
QuWqjrYa/,F1,2012,0,2,2.8,3.1,3.05
UBZQ4smg/,F1,2012,1,3,4.5,3.55,2
Wn69eU5B/,D1,2012,0,3,3,3.8,2.54
WQGN5NXn/,F1,2012,1,1,3.66,3.5,2.42
x4HJ63It/,F1,2012,3,1,2.12,3.3,4.44
xQ65dAj5/,D1,2012,3,0,2.31,3.8,3.27
xtklbWLh/,D1,2012,2,1,2.43,3.75,3.4
zeViBqAP/,F1,2012,2,2,1.5,4.4,9
84Llk2m6/,F1,2012,1,2,1.82,3.65,5.5
fLN0n0XO/,F1,2012,1,5,3.35,3.27,2.5
K4vgcjya/,D1,2012,2,0,3.45,3.4,2.5
SEqvxt5j/,D1,2012,0,1,1.24,7.4,15
4nHmUALb/,E0,2012,0,0,1.95,3.65,4.51
4WY4SljB/,E0,2012,0,0,3.6,3.55,2.25
bgY8R85H/,E0,2012,0,4,2.2,3.35,4.09
bHbEI0Hh/,F1,2012,1,2,2,3.4,4.7
bw0Yaqcc/,D1,2012,5,1,1.67,4.2,6.14
byqaawHU/,F1,2012,1,1,1.3,5.8,14.58
Ea52eLBS/,D1,2012,1,0,4.9,3.8,1.88
EkQZqjLo/,E0,2012,1,1,2.5,3.52,3.15
I5sHJt2n/,F1,2012,1,0,2.25,3.2,3.95
KhlsbNR9/,D1,2012,1,2,1.97,3.9,4.2
lShocssG/,D1,2012,1,2,3,3.52,2.6
nB6hTUz5/,E0,2012,1,1,1.45,4.75,10
pYve0J1O/,F1,2012,1,1,2.6,3.27,3.25
QeIqVj6h/,E0,2012,1,2,2.58,3.25,3.25
t2kwa3C3/,D1,2012,2,2,2.12,3.6,3.98
UPAXkaZk/,D1,2012,1,1,2.94,3.65,2.6
vFrDKMnt/,F1,2012,1,1,2.66,3.25,3.1
WUdMGvn5/,F1,2012,0,0,1.99,3.4,4.9
x8cIHKWb/,F1,2012,2,0,1.68,3.8,7
z3BTjuKq/,D1,2012,0,1,4.7,3.79,1.95
29kj1anI/,F1,2012,0,1,1.6,4,8.19
dUDqL6ro/,E0,2012,1,2,6.2,4,1.69
fqnr3LH5/,F1,2012,2,2,3.95,3.31,2.24
OIjn2uXB/,F1,2012,1,0,2.31,3.26,3.75
pzdU0Psi/,D1,2012,1,0,1.91,4,4.3
WzGcd1dM/,D1,2012,1,1,1.94,3.65,4.65
xpXCQSKN/,E0,2012,0,0,4.4,3.5,2.04
CQJ2BZ8q/,E0,2012,4,0,1.46,4.75,10
WMIN4blq/,D1,2012,4,1,2.88,3.6,2.64
0vWe9vtS/,D1,2012,1,1,3,3.65,2.54
2Pyjt8KA/,E0,2012,2,1,1.31,6,13.55
